serial_number,activity_date,facility_name,score,grade,service_code,service_description,employee_id,facility_address,facility_city,facility_id,facility_state,facility_zip,owner_id,owner_name,pe_description,program_element_pe,program_name,program_status,record_id
DAGP5J7K6,05/04/2017 12:00:00 AM,TSUBAKI,94,A,1,ROUTINE INSPECTION,EE0000360,1356 ALLISON AVE,LOS ANGELES,FA0244314,CA,90026,OW0239533,TSUBAKI LLC,RESTAURANT (0-30) SEATS HIGH RISK,1632,TSUBAKI,ACTIVE,PR0192593
DA8MVLY18,05/04/2017 12:00:00 AM,BLUE C SUSHI,95,A,1,ROUTINE INSPECTION,EE0000709,6374 W SUNSET BLVD unit B,LOS ANGELES,FA0160479,CA,90028,OW0125441,BLUE C CALIFORNIA INC,RESTAURANT (61-150) SEATS HIGH RISK,1638,BLUE C SUSHI,ACTIVE,PR0148567
DAIUYY5TA,05/04/2017 12:00:00 AM,L A CHICKEN CENTER,92,A,1,ROUTINE INSPECTION,EE0000854,3400 W 8TH ST,LOS ANGELES,FA0033822,CA,90005,OW0026159,"NOE, SAMMI",RESTAURANT (61-150) SEATS HIGH RISK,1638,L A CHICKEN CENTER,ACTIVE,PR0026719
DAQXQWM4I,05/04/2017 12:00:00 AM,CHECKER'S RESTAURANT,97,A,1,ROUTINE INSPECTION,EE0000721,535 S GRAND AVE,LOS ANGELES,FA0014355,CA,90071,OW0007938,CHSP TRS LOS ANGELES LLC,RESTAURANT (61-150) SEATS HIGH RISK,1638,CHECKER'S RESTAURANT,ACTIVE,PR0043653
DAAV1ZK4G,05/04/2017 12:00:00 AM,EL TEXANITO #2,91,A,1,ROUTINE INSPECTION,EE0001026,4501 S ALAMEDA ST # J7,LOS ANGELES,FA0021494,CA,90058,OW0002046,"ALCORTA, LUPE",RESTAURANT (0-30) SEATS MODERATE RISK,1631,EL TEXANITO #2,ACTIVE,PR0001731
DAPVZMLQY,05/04/2017 12:00:00 AM,M CAFE,95,A,1,ROUTINE INSPECTION,EE0000727,11678 SAN VICENTE BLVD,LOS ANGELES,FA0138406,CA,90049,OW0101764,"EUGENE & ASSOCIATES, INC.",RESTAURANT (31-60) SEATS HIGH RISK,1635,M CAFE,INACTIVE,PR0122718
DA0BSGCWY,05/04/2017 12:00:00 AM,EL ATORON,90,A,1,ROUTINE INSPECTION,EE0000366,1285 MAPLE ST,LOS ANGELES,FA0164158,CA,90015,OW0127587,JAVIER MORALES-GALVEZ,RESTAURANT (0-30) SEATS HIGH RISK,1632,EL ATORON,ACTIVE,PR0152432
DAKLMVY6M,05/04/2017 12:00:00 AM,J BBQ,93,A,1,ROUTINE INSPECTION,EE0000531,901 S VERMONT AVE,LOS ANGELES,FA0241126,CA,90006-1687,OW0237103,MIDRI INC,RESTAURANT (61-150) SEATS HIGH RISK,1638,J BBQ,ACTIVE,PR0189206
DAKPFGNIJ,05/04/2017 12:00:00 AM,CHINESE 6-MAIN CONCESSION,94,A,1,ROUTINE INSPECTION,EE0000835,6801 HOLLYWOOD BLVD STE #335,LOS ANGELES,FA0008954,CA,90028,OW0007586,CHINESE THEATRES LLC,RESTAURANT (0-30) SEATS MODERATE RISK,1631,CHINESE 6-MAIN CONCESSION,ACTIVE,PR0011529
DAP8GWNIS,05/04/2017 12:00:00 AM,DOWNTOWN SALAD PLACE,98,A,1,ROUTINE INSPECTION,EE0000721,117 W 9TH ST,LOS ANGELES,FA0177068,CA,90015,OW0183042,MARIA JUAN MIGUEL,RESTAURANT (0-30) SEATS LOW RISK,1630,DOWNTOWN SALAD PLACE,ACTIVE,PR0170017
