serial_number,activity_date,facility_name,score,grade,service_code,service_description,employee_id,facility_address,facility_city,facility_id,facility_state,facility_zip,owner_id,owner_name,pe_description,program_element_pe,program_name,program_status,record_id
DA6B0LZBW,09/18/2015 12:00:00 AM,TOMATO PIE PIZZA JOINT,97,A,1,ROUTINE INSPECTION,EE0000951,7751 1/2 MELROSE AVE,LOS ANGELES,FA0072707,CA,90046,OW0036155,TOMATO PIE PIZZA JOINT MELRO,RESTAURANT (0-30) SEATS HIGH RISK,1632,TOMATO PIE PIZZA JOINT,ACTIVE,PR0023826
DAVD4SQ0T,09/18/2015 12:00:00 AM,DODGER STADIUM,99,A,1,ROUTINE INSPECTION,EE0000122,1000 VIN SCULLY AVE,LOS ANGELES,FA0019271,CA,90012,OW0021606,LEVY PREMIUM FOOD SERVICE LP,RESTAURANT (0-30) SEATS MODERATE RISK,1631,INTENTIONAL WALK,ACTIVE,PR0002345
DANCQNDYK,09/18/2015 12:00:00 AM,EL POLLO LOCO,98,A,1,ROUTINE INSPECTION,EE0000195,12800 S AVALON BLVD,LOS ANGELES,FA0012487,CA,90061,OW0010868,"EL POLLO LOCO, INC.",RESTAURANT (31-60) SEATS HIGH RISK,1635,EL POLLO LOCO,ACTIVE,PR0037189
DAWAMX6W6,09/18/2015 12:00:00 AM,AVALON,96,A,1,ROUTINE INSPECTION,EE0000709,1735 VINE ST,LOS ANGELES,FA0007533,CA,90028,OW0001721,HOLLYWOOD ENTERTAINMENT PARTNERS  LLC,RESTAURANT (31-60) SEATS MODERATE RISK,1634,AVALON - SPIDER BAR,ACTIVE,PR0008824
DAPVOCZZG,09/18/2015 12:00:00 AM,DODGER STADIUM,99,A,1,ROUTINE INSPECTION,EE0000122,1000 VIN SCULLY AVE,LOS ANGELES,FA0019271,CA,90012,OW0021606,LEVY PREMIUM FOOD SERVICE LP,RESTAURANT (0-30) SEATS MODERATE RISK,1631,#735 BROOKLIN DODGERS PIZZA,ACTIVE,PR0018610
DAWZGYH7K,09/18/2015 12:00:00 AM,"BREWER,DAVID DBA",95,A,1,ROUTINE INSPECTION,EE0000721,902 S OLIVE ST,LOS ANGELES,FA0006274,CA,90015,OW0002713,ANDROMEDA ENTERTAINMENT ENTE,RESTAURANT (151 + ) SEATS MODERATE RISK,1640,"BREWER,DAVID DBA",INACTIVE,PR0041444
DA4QRBXKP,09/17/2015 12:00:00 AM,BASKIN ROBBINS,92,A,1,ROUTINE INSPECTION,EE0000869,4048 W 3RD ST,LOS ANGELES,FA0008463,CA,90020,OW0020068,"KUNCHAVALLE,KUNAVUT",RESTAURANT (0-30) SEATS LOW RISK,1630,BASKIN ROBBINS,ACTIVE,PR0024921
DA8WCKGWL,09/17/2015 12:00:00 AM,SANDBOX,90,A,1,ROUTINE INSPECTION,EE0000951,7174 MELROSE AVE,LOS ANGELES,FA0058745,CA,90046,OW0002653,ANAT ESCHER,RESTAURANT (61-150) SEATS HIGH RISK,1638,SANDBOX,ACTIVE,PR0032421
DARKO4NIM,09/17/2015 12:00:00 AM,PAPA JOHNS PIZZA,95,A,1,ROUTINE INSPECTION,EE0000144,11688 GATEWAY BLVD,LOS ANGELES,FA0068296,CA,90064,OW0027197,PACIFIC PJ LLC,RESTAURANT (0-30) SEATS MODERATE RISK,1631,PAPA JOHNS PIZZA,INACTIVE,PR0044958
DABL6LSWS,09/17/2015 12:00:00 AM,ISLAND FRESH,90,A,1,ROUTINE INSPECTION,EE0000871,5101 W PICO BLVD,LOS ANGELES,FA0030366,CA,90019,OW0017117,ISLAND JAM INC,RESTAURANT (0-30) SEATS HIGH RISK,1632,ISLAND FRESH,INACTIVE,PR0045484
DA0A8LXQU,09/17/2015 12:00:00 AM,SAN YA BBQ RESTAURANT,86,B,1,ROUTINE INSPECTION,EE0000884,2897 W OLYMPIC BLVD STE 105,LOS ANGELES,FA0046967,CA,90006,OW0031498,SAN YA BBQ INC.,RESTAURANT (61-150) SEATS HIGH RISK,1638,SAN YA BBQ RESTAURANT,ACTIVE,PR0005402
DA952UGVC,09/17/2015 12:00:00 AM,GENERAL LEE'S (2ND FLOOR),97,A,1,ROUTINE INSPECTION,EE0000740,475 GIN LING WAY,LOS ANGELES,FA0159186,CA,90012,OW0102359,GIN LING WAY LP,RESTAURANT (0-30) SEATS LOW RISK,1630,GENERAL LEE'S (2ND FLOOR),ACTIVE,PR0147248
DAICCUKOU,09/17/2015 12:00:00 AM,WOKCANO CRESCENT,90,A,1,ROUTINE INSPECTION,EE0000838,8000 SUNSET BLVD A 110,LOS ANGELES,FA0164943,CA,90046,OW0128242,"WOKCANO CRESCENT , LLC",RESTAURANT (31-60) SEATS HIGH RISK,1635,WOKCANO CRESCENT,ACTIVE,PR0153237
DASVOPZYT,09/17/2015 12:00:00 AM,BERLINS,91,A,1,ROUTINE INSPECTION,EE0000468,8474 W 3RD ST,LOS ANGELES,FA0167380,CA,90048,OW0130421,BERLINS FOOD INC.,RESTAURANT (0-30) SEATS HIGH RISK,1632,BERLINS,ACTIVE,PR0157740
