serial_number,activity_date,facility_name,score,grade,service_code,service_description,employee_id,facility_address,facility_city,facility_id,facility_state,facility_zip,owner_id,owner_name,pe_description,program_element_pe,program_name,program_status,record_id
DAIDHFDFP,06/24/2016 12:00:00 AM,TEMPTATION,91,A,1,ROUTINE INSPECTION,EE0000854,739 1/2 S WESTERN AVE,LOS ANGELES,FA0036713,CA,90005,OW0019529,"KIM, YONG CHA",RESTAURANT (0-30) SEATS LOW RISK,1630,TEMPTATION,ACTIVE,PR0027904
DA0YHHA2S,06/24/2016 12:00:00 AM,ROLL ROLL ROLL,92,A,1,ROUTINE INSPECTION,EE0000869,635 S HOBART BLVD STE #C,LOS ANGELES,FA0046107,CA,90005,OW0032672,SEONG CHEOL SHIN,RESTAURANT (31-60) SEATS HIGH RISK,1635,ROLL ROLL ROLL,ACTIVE,PR0019546
DA7XAVL0A,06/24/2016 12:00:00 AM,MCDONALD'S # 2818,94,A,1,ROUTINE INSPECTION,EE0000557,4480 E OLYMPIC BLVD,LOS ANGELES,FA0038650,CA,90023,OW0023899,MCDONALD'S CORPORATION,RESTAURANT (31-60) SEATS MODERATE RISK,1634,MCDONALD'S # 2818,ACTIVE,PR0024426
DAVQIQI62,06/24/2016 12:00:00 AM,SAKE HOUSE MIRO,94,A,1,ROUTINE INSPECTION,EE0000853,809 S LA BREA AVE,LOS ANGELES,FA0069962,CA,90036,OW0009954,DIATECH PLANNING INC.,RESTAURANT (31-60) SEATS HIGH RISK,1635,SAKE HOUSE MIRO,ACTIVE,PR0043471
DAPKOHD6E,06/24/2016 12:00:00 AM,VELVET MARGRITA,94,A,1,ROUTINE INSPECTION,EE0000709,1612 N CAHUENGA BLVD,LOS ANGELES,FA0039560,CA,90028,OW0023095,MAMACITAS INC,RESTAURANT (31-60) SEATS HIGH RISK,1635,VELVET MARGRITA,ACTIVE,PR0009806
DA7O8VZEJ,06/24/2016 12:00:00 AM,TENDER GREENS,98,A,1,ROUTINE INSPECTION,EE0000721,523 W 6TH ST,LOS ANGELES,FA0164939,CA,90017,OW0179061,T.Y.P. RESTAURANT GROUP INC.,RESTAURANT (31-60) SEATS HIGH RISK,1635,TENDER GREENS,ACTIVE,PR0153233
DA7CDIFYM,06/24/2016 12:00:00 AM,KITCHEN 24,90,A,1,ROUTINE INSPECTION,EE0000709,1608 N CAHUENGA BLVD,LOS ANGELES,FA0032525,CA,90028,OW0019704,"KITCHEN 24, LLC.",RESTAURANT (61-150) SEATS HIGH RISK,1638,KITCHEN 24,ACTIVE,PR0018889
DA8VWEKAG,06/24/2016 12:00:00 AM,ASIAN BOX,93,A,1,ROUTINE INSPECTION,EE0000721,455 S FIGUEROA ST # 101,LOS ANGELES,FA0164999,CA,90071,OW0124152,ASIAN BOX PALO ALTO LLC,RESTAURANT (0-30) SEATS HIGH RISK,1632,ASIAN BOX,ACTIVE,PR0153302
DALNRH6MC,06/24/2016 12:00:00 AM,KOKIO RESTAURANT,90,A,1,ROUTINE INSPECTION,EE0000869,3977 W 6TH ST,LOS ANGELES,FA0224583,CA,90020,OW0229039,KOKIO ASSOCIATED INC.,RESTAURANT (31-60) SEATS HIGH RISK,1635,KOKIO RESTAURANT,ACTIVE,PR0179827
DAIVGQSFB,06/24/2016 12:00:00 AM,MASTER CHEF,90,A,1,ROUTINE INSPECTION,EE0000740,937 N HILL ST,LOS ANGELES,FA0221749,CA,90012,OW0226754,PING ON VENTURES INC.,RESTAURANT (61-150) SEATS HIGH RISK,1638,MASTER CHEF,INACTIVE,PR0176750
DAMOYEGQ2,06/24/2016 12:00:00 AM,SHAVUHYANG,91,A,1,ROUTINE INSPECTION,EE0000869,3807 WILSHIRE BLVD # 120,LOS ANGELES,FA0165362,CA,90010,OW0128630,SHAVUHYANG USA INC,RESTAURANT (61-150) SEATS HIGH RISK,1638,SHAVUHYANG,INACTIVE,PR0153682
