serial_number,activity_date,facility_name,score,grade,service_code,service_description,employee_id,facility_address,facility_city,facility_id,facility_state,facility_zip,owner_id,owner_name,pe_description,program_element_pe,program_name,program_status,record_id
DA0J3QV40,08/15/2016 12:00:00 AM,BAK KUNG KOREAN BBQ 2,90,A,1,ROUTINE INSPECTION,EE0001003,233 S VERMONT AVE,LOS ANGELES,FA0166078,CA,90004,OW0039131,"WON HUA, INC.",RESTAURANT (61-150) SEATS HIGH RISK,1638,BAK KUNG KOREAN BBQ 2,ACTIVE,PR0156328
DA5EMTZ4U,08/15/2016 12:00:00 AM,LEGEND NOODLE & GRILL,93,A,1,ROUTINE INSPECTION,EE0001003,209 S VERMONT AVE,LOS ANGELES,FA0035960,CA,90004,OW0021484,LEGEND NOODLE & GRILL,RESTAURANT (31-60) SEATS HIGH RISK,1635,LEGEND NOODLE & GRILL,INACTIVE,PR0047579
DAMVZZ7C0,08/15/2016 12:00:00 AM,LOS GIRASOLES MEXICAN GRILL,90,A,1,ROUTINE INSPECTION,EE0000176,2851 CRENSHAW BLVD,LOS ANGELES,FA0225836,CA,90016,OW0230057,MARIA CONSEPCION PEREZ-GARCIA,RESTAURANT (0-30) SEATS HIGH RISK,1632,LOS GIRASOLES MEXICAN GRILL,INACTIVE,PR0181157
DA4F1QGI0,08/15/2016 12:00:00 AM,PAPA JOHN'S PIZZA,93,A,1,ROUTINE INSPECTION,EE0000893,720 N VERMONT AVE,LOS ANGELES,FA0068305,CA,90029,OW0028671,"PJ MANAGEMENT, INC.",RESTAURANT (0-30) SEATS MODERATE RISK,1631,PAPA JOHN'S PIZZA,INACTIVE,PR0010277
DA6ZGNHC0,08/12/2016 12:00:00 AM,PACE,94,A,401,OWNER INITIATED ROUTINE INSPECT.,EE0000822,2100 LAUREL CANYON BLVD,LOS ANGELES,FA0043420,CA,90046,OW0031645,SANDRO CORPORATION,RESTAURANT (31-60) SEATS HIGH RISK,1635,PACE,ACTIVE,PR0003721
DAVWRZRB2,08/12/2016 12:00:00 AM,RALPHS MARKET #283,97,A,1,ROUTINE INSPECTION,EE0000176,5080 RODEO RD,LOS ANGELES,FA0045150,CA,90016,OW0029458,RALPHS GROCERY COMPANY,RESTAURANT (0-30) SEATS MODERATE RISK,1631,RALPH'S #283 (BAKERY),ACTIVE,PR0045279
DAHRAXWWF,08/12/2016 12:00:00 AM,TAJ TANDOORI LA,96,A,1,ROUTINE INSPECTION,EE0000015,10823 VENICE BLVD,LOS ANGELES,FA0225821,CA,90034,OW0230042,TAJ TANDOORI INC.,RESTAURANT (0-30) SEATS HIGH RISK,1632,TAJ TANDOORI LA,INACTIVE,PR0181144
DA9O0FA9N,08/12/2016 12:00:00 AM,YUM YUM DONUTS FRANCHISE #19,91,A,1,ROUTINE INSPECTION,EE0000709,724 N HIGHLAND AVE,LOS ANGELES,FA0041896,CA,90038,OW0033430,"SOLARES, HENRY Q. MELGAR",RESTAURANT (0-30) SEATS MODERATE RISK,1631,YUM YUM DONUTS FRANCHISE #19,ACTIVE,PR0007115
DAJEPW0EJ,08/12/2016 12:00:00 AM,FISH TACO XPRESS,90,A,1,ROUTINE INSPECTION,EE0001049,5144 BEVERLY BLVD,LOS ANGELES,FA0023118,CA,90022,OW0001589,"ABISAI MORALES SANTOYO, ET A",RESTAURANT (0-30) SEATS HIGH RISK,1632,FISH TACO XPRESS,INACTIVE,PR0039809
DAPMSFUEF,08/12/2016 12:00:00 AM,RALPHS MARKET #283,96,A,1,ROUTINE INSPECTION,EE0000176,5080 RODEO RD,LOS ANGELES,FA0045150,CA,90016,OW0029458,RALPHS GROCERY COMPANY,RESTAURANT (0-30) SEATS HIGH RISK,1632,RALPH'S #283 (DELI),ACTIVE,PR0039270
