serial_number,activity_date,facility_name,score,grade,service_code,service_description,employee_id,facility_address,facility_city,facility_id,facility_state,facility_zip,owner_id,owner_name,pe_description,program_element_pe,program_name,program_status,record_id
DAKMYIURA,02/06/2018 12:00:00 AM,ANAR INDIAN RESTAURANT,90,A,1,ROUTINE INSPECTION,EE0000709,1807 N CAHUENGA BLVD,LOS ANGELES,FA0006202,CA,90028,OW0029353,RAAD HOLDINGS LLC,RESTAURANT (31-60) SEATS HIGH RISK,1635,ANAR INDIAN RESTAURANT,ACTIVE,PR0040462
DAAQLOSAI,02/06/2018 12:00:00 AM,JAY'S BAR,95,A,1,ROUTINE INSPECTION,EE0000904,4321 W SUNSET BLVD,LOS ANGELES,FA0064250,CA,90029,OW0017486,JBEER 74 INC,RESTAURANT (31-60) SEATS HIGH RISK,1635,JAY'S BAR,ACTIVE,PR0007518
DAIK4GYM5,02/06/2018 12:00:00 AM,HOLIDAY INN WLA,98,A,1,ROUTINE INSPECTION,EE0000684,11250 SANTA MONICA BLVD,LOS ANGELES,FA0149788,CA,90025-3156,OW0115403,WESTWOOD HOTEL LLC,RESTAURANT (0-30) SEATS HIGH RISK,1632,HOLIDAY INN WLA - THE ATRIUM,ACTIVE,PR0199948
DADI5ZM66,02/06/2018 12:00:00 AM,SHAHERZARD RESTAURANT,96,A,1,ROUTINE INSPECTION,EE0000924,1422 WESTWOOD BLVD,LOS ANGELES,FA0248148,CA,90024,OW0242631,SHAHERZAD RESTAURANT INC,RESTAURANT (61-150) SEATS HIGH RISK,1638,SHAHERZARD RESTAURANT,ACTIVE,PR0196794
DAFIJOJCV,02/06/2018 12:00:00 AM,STARBUCKS,94,A,1,ROUTINE INSPECTION,EE0000740,1969 ZONAL AVE,LOS ANGELES,FA0048646,CA,90033,OW0037014,USC HOSPITALITY SERVICES,RESTAURANT (0-30) SEATS LOW RISK,1630,STAR BUCKS,ACTIVE,PR0029425
DAZJMWYOV,02/06/2018 12:00:00 AM,JACOB’S MARKET,90,A,1,ROUTINE INSPECTION,EE0000951,306 N LA BREA AVE,LOS ANGELES,FA0156858,CA,90036,OW0017302,"JACOB'S KOSHER MEAT, INC.",RESTAURANT (0-30) SEATS HIGH RISK,1632,JACOB’S MARKET,ACTIVE,PR0144529
DAFZCAF50,02/06/2018 12:00:00 AM,TONY'S BAR,92,A,1,ROUTINE INSPECTION,EE0000871,4310 W PICO BLVD,LOS ANGELES,FA0052819,CA,90019,OW0036178,TONY'S BAR INC,RESTAURANT (0-30) SEATS LOW RISK,1630,TONY'S BAR,ACTIVE,PR0029798
DALHLQO5M,02/06/2018 12:00:00 AM,YABU RESTAURANT,97,A,1,ROUTINE INSPECTION,EE0000629,11820 W PICO BLVD,LOS ANGELES,FA0055637,CA,90064,OW0016887,"IKUNO, KIYUTAKA",RESTAURANT (31-60) SEATS HIGH RISK,1635,YABU RESTAURANT,ACTIVE,PR0029575
DAJADYLX1,02/06/2018 12:00:00 AM,CHINA BEAUTY,90,A,1,ROUTINE INSPECTION,EE0000923,5465 N FIGUEROA ST,LOS ANGELES,FA0008745,CA,90042,OW0012998,"GAUV, MUOY",RESTAURANT (0-30) SEATS HIGH RISK,1632,CHINA BEAUTY,ACTIVE,PR0017574
DATFLUSCS,02/06/2018 12:00:00 AM,AMADINE PATISSERIE CAFE KT,96,A,1,ROUTINE INSPECTION,EE0000884,3121 W OLYMPIC BLVD,LOS ANGELES,FA0251105,CA,90006,OW0245091,APCKT CORP,RESTAURANT (0-30) SEATS HIGH RISK,1632,AMADINE PATISSERIE CAFE KT,ACTIVE,PR0200215
