serial_number,activity_date,facility_name,score,grade,service_code,service_description,employee_id,facility_address,facility_city,facility_id,facility_state,facility_zip,owner_id,owner_name,pe_description,program_element_pe,program_name,program_status,record_id
DAPDUDULO,11/17/2015 12:00:00 AM,NAKKARA ON BEVERLY,91,A,401,OWNER INITIATED ROUTINE INSPECT.,EE0000726,7669 BEVERLY BLVD,LOS ANGELES,FA0025994,CA,90036,OW0025555,NAKKARA LLC,RESTAURANT (31-60) SEATS HIGH RISK,1635,NAKKARA ON BEVERLY,ACTIVE,PR0030608
DATA6A0QP,11/17/2015 12:00:00 AM,YUM YUM DONUTS,92,A,1,ROUTINE INSPECTION,EE0000950,6600 E OLYMPIC BLVD STE #106,LOS ANGELES,FA0055785,CA,90022,OW0002038,"ALCARAZ, MARIA CERULLI",RESTAURANT (0-30) SEATS MODERATE RISK,1631,YUM YUM DONUTS,INACTIVE,PR0047011
DAZHKLYU0,11/17/2015 12:00:00 AM,8XPRESS CHICKEN,92,A,1,ROUTINE INSPECTION,EE0000946,2748 W 8TH ST #104 -107,LOS ANGELES,FA0175744,CA,90005,OW0182241,"8TH AND HOOVER EB5 ,LP",RESTAURANT (61-150) SEATS HIGH RISK,1638,8XPRESS CHICKEN,ACTIVE,PR0168948
DAV2B573B,11/17/2015 12:00:00 AM,ROBATA JINYA,90,A,1,ROUTINE INSPECTION,EE0000468,08050 W 3RD ST,LOS ANGELES,FA0069632,CA,90048,OW0020293,LA BREA DINING CALIFORNIA IN,RESTAURANT (61-150) SEATS HIGH RISK,1638,ROBATA JINYA,ACTIVE,PR0039946
DAKHLRLVQ,11/17/2015 12:00:00 AM,PIZZA HUT #26209,92,A,1,ROUTINE INSPECTION,EE0000904,4629 SANTA MONICA BLVD # 52,LOS ANGELES,FA0044779,CA,90029,OW0033717,SOUTHERN CALIFORNIA PIZZA CO LLC,RESTAURANT (0-30) SEATS MODERATE RISK,1631,PIZZA HUT #026209,ACTIVE,PR0002387
DATKNS0MU,11/17/2015 12:00:00 AM,BURGER LOUNGE,95,A,1,ROUTINE INSPECTION,EE0000727,11740 SAN VINCENTE BLVD #102,LOS ANGELES,FA0137756,CA,90049,OW0181018,BURGER LOUNGE III LLC,RESTAURANT (31-60) SEATS HIGH RISK,1635,BURGER LOUNGE,ACTIVE,PR0121883
DA0BUHT8N,11/17/2015 12:00:00 AM,HUNAN CAFE,91,A,1,ROUTINE INSPECTION,EE0000838,7986 W SUNSET BLVD,LOS ANGELES,FA0017697,CA,90046,OW0039602,YEN CHING MING,RESTAURANT (0-30) SEATS HIGH RISK,1632,HUNAN CAFE,ACTIVE,PR0037818
DAVSJVIVE,11/17/2015 12:00:00 AM,GELSON'S MARKET #394,92,A,1,ROUTINE INSPECTION,EE0000375,10250 SANTA MONICA BLVD,LOS ANGELES,FA0025188,CA,90067,OW0013032,GELSON'S MARKET,RESTAURANT (0-30) SEATS HIGH RISK,1632,GELSON'S MARKET #394 SERVICE DELI,ACTIVE,PR0021222
DACGSY0RX,11/17/2015 12:00:00 AM,ADDIS LA,91,A,1,ROUTINE INSPECTION,EE0000853,1025 S FAIRFAX AVE,LOS ANGELES,FA0149307,CA,90019-4402,OW0114896,"ADDIS RESTAURANT, INC.",RESTAURANT (31-60) SEATS HIGH RISK,1635,ADDIS LA,INACTIVE,PR0135416
DAGXCLN5W,11/17/2015 12:00:00 AM,THE KITCHEN,90,A,1,ROUTINE INSPECTION,EE0000904,4348 FOUNTAIN AVE,LOS ANGELES,FA0052067,CA,90029,OW0022541,LUNCH TO LATENITE CORP,RESTAURANT (31-60) SEATS HIGH RISK,1635,THE KITCHEN,ACTIVE,PR0038473
DA5WRSDQ6,11/17/2015 12:00:00 AM,LOVE HATE ROCK BAR,94,A,1,ROUTINE INSPECTION,EE0000950,5226 POMONA BLVD,LOS ANGELES,FA0163983,CA,90022,OW0127463,"T.QUILEA'S BAJA BAR GRILL, INC",RESTAURANT (61-150) SEATS HIGH RISK,1638,LOVE HATE ROCK BAR,INACTIVE,PR0152216
