serial_number,activity_date,facility_name,score,grade,service_code,service_description,employee_id,facility_address,facility_city,facility_id,facility_state,facility_zip,owner_id,owner_name,pe_description,program_element_pe,program_name,program_status,record_id
DATEZ0WYG,07/20/2015 12:00:00 AM,TOMMY'S HAMBURGERS,87,B,1,ROUTINE INSPECTION,EE0000718,2575 W BEVERLY BLVD,LOS ANGELES,FA0072715,CA,90057,OW0036158,TOMDAN ENTERPRISES INC,RESTAURANT (0-30) SEATS HIGH RISK,1632,TOMMY'S HAMBURGERS,ACTIVE,PR0023726
DAKG00TSQ,07/20/2015 12:00:00 AM,HONEYMEE,93,A,1,ROUTINE INSPECTION,EE0000699,3377 WILSHIRE BLVD 116,LOS ANGELES,FA0158767,CA,90010,OW0123816,"UBUNTU DEVELOPMENT, INC",RESTAURANT (0-30) SEATS MODERATE RISK,1631,HONEYMEE,ACTIVE,PR0146848
DAEBCA0RE,07/20/2015 12:00:00 AM,KURA JAPANESE CUISINE,92,A,1,ROUTINE INSPECTION,EE0000838,8162 W SUNSET BLVD,LOS ANGELES,FA0033644,CA,90046,OW0033493,"SON, IK K.",RESTAURANT (31-60) SEATS HIGH RISK,1635,KURA JAPANESE CUISINE,ACTIVE,PR0028396
DAT3YETFG,07/20/2015 12:00:00 AM,EL GALLO GIRO,90,A,1,ROUTINE INSPECTION,EE0000707,701 E JEFFERSON BLVD,LOS ANGELES,FA0020742,CA,90011,OW0010842,EL GALLO GIRO CORPORATION,RESTAURANT (31-60) SEATS HIGH RISK,1635,EL GALLO GIRO,ACTIVE,PR0021399
DAWZ5J70T,07/20/2015 12:00:00 AM,WINCHELL'S DONUT #9339,87,B,1,ROUTINE INSPECTION,EE0000912,716 N WESTERN AVE,LOS ANGELES,FA0074073,CA,90029,OW0040037,YUM YUM DONUT SHOPS INC.,RESTAURANT (0-30) SEATS MODERATE RISK,1631,WINCHELL'S DONUT #9339,ACTIVE,PR0010002
DASZ7BE0L,07/20/2015 12:00:00 AM,CHARLIES TRIO,93,A,1,ROUTINE INSPECTION,EE0000740,5769 N HUNTINGTON DR N,LOS ANGELES,FA0008387,CA,90032,OW0011666,"FATA, CHARLES",RESTAURANT (61-150) SEATS HIGH RISK,1638,CHARLIES TRIO,ACTIVE,PR0047572
DAZWQEZE6,07/20/2015 12:00:00 AM,TACOS BAJA INC,80,B,1,ROUTINE INSPECTION,EE0001049,5385 E WHITTIER BLVD,LOS ANGELES,FA0036045,CA,90022,OW0034766,TACOS BAJA INC,RESTAURANT (0-30) SEATS HIGH RISK,1632,TACOS BAJA INC,ACTIVE,PR0035574
DAXZ3G2MP,07/20/2015 12:00:00 AM,BESTIA,92,A,1,ROUTINE INSPECTION,EE0000740,2121 E 7TH PL # 101-3,LOS ANGELES,FA0058259,CA,90021,OW0004517,BESTIA LLC,RESTAURANT (61-150) SEATS HIGH RISK,1638,BESTIA,ACTIVE,PR0026011
DAC0XZTBK,07/20/2015 12:00:00 AM,LA PRINCESITA TORTILLERIA,92,A,1,ROUTINE INSPECTION,EE0000557,3432 E CESAR E CHAVEZ AVE,LOS ANGELES,FA0021053,CA,90063,OW0029564,FRANCISCO RAMIREZ,RESTAURANT (0-30) SEATS MODERATE RISK,1631,LA PRINCESITA TORTILLERIA,ACTIVE,PR0046928
DASNW0CTP,07/20/2015 12:00:00 AM,CASA HONDURAS RESTAURANT,93,A,1,ROUTINE INSPECTION,EE0000729,9131 S VERMONT AVE,LOS ANGELES,FA0059398,CA,90044,OW0023372,"MARIN, JOSE N.",RESTAURANT (61-150) SEATS HIGH RISK,1638,CASA HONDURAS RESTAURANT,ACTIVE,PR0035359
